"Time (s),""Acceleration x (m/s^2)"",""Acceleration y (m/s^2)"",""Acceleration z (m/s^2)"""
9.974458000E-2,1.556231081E-1,1.077390760E-1,1.005385113E1
1.017665070E-1,1.484405100E-1,1.077390760E-1,1.007300472E1
1.037886950E-1,1.556231081E-1,1.029506698E-1,1.005145741E1
1.058041630E-1,1.436520964E-1,1.029506698E-1,1.002751541E1
1.078127570E-1,1.460463107E-1,1.101332754E-1,1.000836182E1
1.098213510E-1,1.460463107E-1,1.077390760E-1,9.991601944E0
1.118298930E-1,1.460463107E-1,1.077390760E-1,1.002990913E1
1.138384340E-1,1.460463107E-1,1.077390760E-1,1.006582260E1
1.158469760E-1,1.436520964E-1,1.268926859E-1,1.008018780E1
1.178555180E-1,1.580173075E-1,1.149216816E-1,1.006103420E1
1.198640590E-1,1.460463107E-1,9.097966552E-2,1.007061100E1
1.218726010E-1,1.532289088E-1,1.101332754E-1,1.004906273E1
1.238811430E-1,1.604115069E-1,1.149216816E-1,1.008497620E1
1.258896840E-1,1.388636976E-1,9.337386489E-2,1.008497620E1
1.278982260E-1,1.628057212E-1,9.576806426E-2,1.007779312E1
1.299067680E-1,1.532289088E-1,9.576806426E-2,1.006821632E1
1.319153090E-1,1.412578970E-1,1.029506698E-1,1.007061100E1
1.339238510E-1,1.388636976E-1,1.101332754E-1,1.006103420E1
1.359323930E-1,1.436520964E-1,1.077390760E-1,1.006582260E1
1.379409340E-1,1.460463107E-1,9.576806426E-2,1.009934139E1
1.399494760E-1,1.604115069E-1,9.337386489E-2,1.009694672E1
1.419580180E-1,1.508347094E-1,1.077390760E-1,1.007061100E1
1.439665590E-1,1.292868853E-1,1.173158810E-1,1.004188061E1
1.459751010E-1,1.460463107E-1,1.029506698E-1,1.003948593E1
1.479836430E-1,1.436520964E-1,9.576806426E-2,1.006821632E1
1.499921840E-1,1.532289088E-1,9.576806426E-2,1.011610031E1
1.520007260E-1,1.484405100E-1,1.149216816E-1,1.012328339E1
1.540092680E-1,1.484405100E-1,8.858546615E-2,1.008976460E1
1.560178090E-1,1.651999205E-1,1.005564705E-1,1.008736992E1
1.580263510E-1,1.316810995E-1,1.125274822E-1,1.005145741E1
1.600348930E-1,1.436520964E-1,1.005564705E-1,1.004427433E1
1.620434340E-1,1.412578970E-1,9.816227108E-2,1.008258152E1
1.640519760E-1,1.532289088E-1,9.337386489E-2,1.008018780E1
1.660605180E-1,1.580173075E-1,9.337386489E-2,1.006821632E1
1.680690590E-1,1.412578970E-1,1.053448766E-1,1.005624580E1
1.700776010E-1,1.436520964E-1,9.097966552E-2,1.003230381E1
1.720861430E-1,1.508347094E-1,1.005564705E-1,1.005624580E1
1.740946840E-1,1.604115069E-1,1.053448766E-1,1.007300472E1
1.761032260E-1,1.484405100E-1,1.005564705E-1,1.007779312E1
1.781117680E-1,1.316810995E-1,1.005564705E-1,1.002751541E1
1.801203090E-1,1.651999205E-1,9.576806426E-2,1.001075554E1
1.821288510E-1,1.508347094E-1,9.576806426E-2,9.986813545E0
1.841373930E-1,1.604115069E-1,1.005564705E-1,1.000357342E1
1.861459860E-1,1.460463107E-1,1.053448766E-1,9.993996620E0
1.881545800E-1,1.484405100E-1,1.005564705E-1,9.998785019E0
1.901631740E-1,1.556231081E-1,9.337386489E-2,9.996390343E0
1.921717680E-1,1.340752989E-1,9.097966552E-2,9.972448349E0
1.941803610E-1,1.340752989E-1,9.337386489E-2,9.955689430E0
1.961889550E-1,1.436520964E-1,1.101332754E-1,9.972448349E0
1.981975490E-1,1.604115069E-1,1.005564705E-1,9.974843025E0
2.002061430E-1,1.604115069E-1,9.337386489E-2,9.965266228E0
2.022147360E-1,1.580173075E-1,9.337386489E-2,9.950901031E0
2.042233300E-1,1.484405100E-1,1.101332754E-1,9.929352760E0
2.062319240E-1,1.532289088E-1,1.077390760E-1,9.926959038E0
2.082405180E-1,1.436520964E-1,9.576806426E-2,9.917382240E0
2.102491110E-1,1.532289088E-1,9.097966552E-2,9.914987564E0
2.122577050E-1,1.532289088E-1,8.858546615E-2,9.914987564E0
2.142662990E-1,1.651999205E-1,7.900865376E-2,9.919775963E0
2.162748930E-1,1.436520964E-1,9.337386489E-2,9.883863449E0
2.182834860E-1,1.556231081E-1,9.576806426E-2,9.876680374E0
2.202920800E-1,1.484405100E-1,1.029506698E-1,9.874286652E0
2.223006740E-1,1.651999205E-1,1.005564705E-1,9.867103577E0
2.243092680E-1,1.532289088E-1,9.097966552E-2,9.876680374E0
2.263178610E-1,1.580173075E-1,9.337386489E-2,9.862315178E0
2.283264550E-1,1.508347094E-1,9.816227108E-2,9.855133057E0
2.303350490E-1,1.508347094E-1,1.029506698E-1,9.840767860E0
2.323436430E-1,1.484405100E-1,9.816227108E-2,9.840767860E0
2.343522360E-1,1.532289088E-1,1.005564705E-1,9.845556259E0
2.363608300E-1,1.604115069E-1,9.576806426E-2,9.840767860E0
2.383694240E-1,1.628057212E-1,1.077390760E-1,9.833584785E0
2.403780180E-1,1.532289088E-1,9.097966552E-2,9.818920135E0
2.423866110E-1,1.412578970E-1,1.029506698E-1,9.806949615E0
2.443952050E-1,1.651999205E-1,9.576806426E-2,9.811738014E0
2.464037990E-1,1.484405100E-1,9.816227108E-2,9.826402664E0
2.484123930E-1,1.580173075E-1,9.816227108E-2,9.831191063E0
2.504209860E-1,1.436520964E-1,9.576806426E-2,9.821314812E0
2.524295800E-1,1.436520964E-1,1.125274822E-1,9.826402664E0
2.544381740E-1,1.556231081E-1,1.197100878E-1,9.811738014E0
2.564467680E-1,1.556231081E-1,1.029506698E-1,9.794978142E0
2.584553610E-1,1.412578970E-1,9.816227108E-2,9.818920135E0
2.604639550E-1,1.580173075E-1,9.576806426E-2,9.821314812E0
2.624725490E-1,1.675941199E-1,1.029506698E-1,9.814131737E0
2.644811430E-1,1.604115069E-1,1.101332754E-1,9.806949615E0
2.664897360E-1,1.604115069E-1,1.077390760E-1,9.809343338E0
2.684983300E-1,1.532289088E-1,1.005564705E-1,9.802161217E0
2.705069240E-1,1.532289088E-1,9.576806426E-2,9.811738014E0
2.725155180E-1,1.508347094E-1,1.005564705E-1,9.814131737E0
2.745241110E-1,1.604115069E-1,1.221042871E-1,9.816526413E0
2.765327050E-1,1.508347094E-1,1.197100878E-1,9.802161217E0
2.785412990E-1,1.556231081E-1,1.029506698E-1,9.811738014E0
2.805498930E-1,1.532289088E-1,1.029506698E-1,9.818920135E0
2.825584860E-1,1.460463107E-1,1.053448766E-1,9.821314812E0
2.845670800E-1,1.532289088E-1,1.101332754E-1,9.831191063E0
2.865756740E-1,1.651999205E-1,1.077390760E-1,9.831191063E0
2.885842680E-1,1.532289088E-1,1.005564705E-1,9.823708534E0
2.905928610E-1,1.436520964E-1,1.053448766E-1,9.835979462E0
2.926014550E-1,1.412578970E-1,1.101332754E-1,9.847949982E0
2.946100490E-1,1.388636976E-1,9.816227108E-2,9.855133057E0
2.966186430E-1,1.412578970E-1,1.125274822E-1,9.867103577E0
2.986272360E-1,1.508347094E-1,9.816227108E-2,9.867103577E0
3.006358300E-1,1.556231081E-1,1.053448766E-1,9.871891975E0
3.026444240E-1,1.484405100E-1,1.029506698E-1,9.855133057E0
3.046530180E-1,1.412578970E-1,1.149216816E-1,9.874286652E0
3.066616110E-1,1.436520964E-1,1.077390760E-1,9.888651848E0
3.086702050E-1,1.412578970E-1,1.149216816E-1,9.910199165E0
3.106787990E-1,1.484405100E-1,1.053448766E-1,9.898228645E0
3.126873930E-1,1.364694983E-1,1.053448766E-1,9.903017044E0
3.146959860E-1,1.412578970E-1,1.125274822E-1,9.900622368E0
3.167045800E-1,1.484405100E-1,1.125274822E-1,9.900622368E0
3.187131740E-1,1.580173075E-1,1.101332754E-1,9.919775963E0
3.207217680E-1,1.484405100E-1,1.221042871E-1,9.965266228E0
3.227303610E-1,1.484405100E-1,1.101332754E-1,9.948506355E0
3.247389550E-1,1.484405100E-1,1.029506698E-1,9.950901031E0
3.267475490E-1,1.508347094E-1,1.101332754E-1,9.941324234E0
3.287561430E-1,1.364694983E-1,1.197100878E-1,9.962871552E0
3.307647360E-1,1.460463107E-1,1.173158810E-1,1.000117874E1
3.327733300E-1,1.388636976E-1,1.029506698E-1,1.000357342E1
3.347819240E-1,1.484405100E-1,9.576806426E-2,1.002272701E1
3.367905180E-1,1.532289088E-1,9.576806426E-2,1.001793861E1
3.387990590E-1,1.436520964E-1,1.292868853E-1,1.001075554E1
3.408076010E-1,1.412578970E-1,1.221042871E-1,1.000836182E1
3.428161430E-1,1.508347094E-1,1.053448766E-1,1.001075554E1
3.448246840E-1,1.580173075E-1,1.077390760E-1,1.004188061E1
3.468332260E-1,1.484405100E-1,1.077390760E-1,1.004906273E1
3.488417680E-1,1.316810995E-1,1.149216816E-1,1.003469753E1
3.508503090E-1,1.436520964E-1,1.101332754E-1,1.003948593E1
3.528588510E-1,1.604115069E-1,1.005564705E-1,1.002512074E1
3.548673930E-1,1.532289088E-1,1.005564705E-1,1.005385113E1
3.568759340E-1,1.508347094E-1,1.005564705E-1,1.007061100E1
3.588844760E-1,1.364694983E-1,1.005564705E-1,1.009694672E1
3.608930180E-1,1.628057212E-1,1.125274822E-1,1.009215832E1
3.629015590E-1,1.556231081E-1,1.053448766E-1,1.009215832E1
3.649101010E-1,1.604115069E-1,1.101332754E-1,1.011131191E1
3.669186430E-1,1.508347094E-1,1.125274822E-1,1.010652351E1
3.689271840E-1,1.556231081E-1,1.029506698E-1,1.012328339E1
3.709357260E-1,1.508347094E-1,1.029506698E-1,1.010891819E1
3.729442680E-1,1.508347094E-1,1.101332754E-1,1.007779312E1
3.749528090E-1,1.508347094E-1,1.029506698E-1,1.006582260E1
3.769613510E-1,1.268926859E-1,1.029506698E-1,1.007061100E1
3.789698930E-1,1.508347094E-1,9.097966552E-2,1.008258152E1
3.809784340E-1,1.556231081E-1,9.097966552E-2,1.008497620E1
