"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.974458000E-2,-3.861469682E-3,-8.921326138E-3,1.198387123E-3
1.017665070E-1,-3.861469682E-3,-6.790860556E-3,-1.997311832E-3
1.037886950E-1,-3.861469682E-3,-3.595161485E-3,1.331541280E-4
1.058041630E-1,-3.861469682E-3,-2.529928461E-3,-9.320789250E-4
1.078127570E-1,-4.926702939E-3,-2.529928461E-3,1.331541280E-4
1.098213510E-1,-1.731003635E-3,-3.595161485E-3,-9.320789250E-4
1.118298930E-1,-1.731003635E-3,-2.529928461E-3,1.331541280E-4
1.138384340E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
1.158469760E-1,-3.861469682E-3,-1.464695437E-3,1.331541280E-4
1.178555180E-1,-6.657706108E-4,6.657706108E-4,-9.320789250E-4
1.198640590E-1,-6.657706108E-4,6.657706108E-4,-9.320789250E-4
1.218726010E-1,-2.796236658E-3,-3.994623839E-4,1.331541280E-4
1.238811430E-1,3.994623839E-4,1.731003635E-3,1.198387123E-3
1.258896840E-1,-6.657706108E-4,1.731003635E-3,-9.320789250E-4
1.278982260E-1,3.994623839E-4,3.861469682E-3,1.331541280E-4
1.299067680E-1,-6.657706108E-4,3.861469682E-3,-9.320789250E-4
1.319153090E-1,3.994623839E-4,3.861469682E-3,-1.997311832E-3
1.339238510E-1,3.994623839E-4,4.926702939E-3,1.331541280E-4
1.359323930E-1,2.529928461E-3,4.926702939E-3,1.331541280E-4
1.379409340E-1,1.464695437E-3,3.861469682E-3,1.331541280E-4
1.399494760E-1,1.464695437E-3,4.926702939E-3,1.331541280E-4
1.419580180E-1,2.529928461E-3,4.926702939E-3,-9.320789250E-4
1.439665590E-1,3.595161485E-3,4.926702939E-3,-9.320789250E-4
1.459751010E-1,3.994623839E-4,6.657706108E-4,-1.997311832E-3
1.479836430E-1,3.994623839E-4,6.657706108E-4,1.331541280E-4
1.499921840E-1,-6.657706108E-4,6.657706108E-4,-9.320789250E-4
1.520007260E-1,2.529928461E-3,1.731003635E-3,1.198387123E-3
1.540092680E-1,3.994623839E-4,4.926702939E-3,-9.320789250E-4
1.560178090E-1,2.529928461E-3,5.991935730E-3,-9.320789250E-4
1.580263510E-1,1.464695437E-3,3.861469682E-3,-9.320789250E-4
1.600348930E-1,1.464695437E-3,4.926702939E-3,1.331541280E-4
1.620434340E-1,2.529928461E-3,2.796236658E-3,2.263620263E-3
1.640519760E-1,-6.657706108E-4,3.861469682E-3,-9.320789250E-4
1.660605180E-1,3.595161485E-3,2.796236658E-3,-9.320789250E-4
1.680690590E-1,1.464695437E-3,3.861469682E-3,1.331541280E-4
1.700776010E-1,3.595161485E-3,3.861469682E-3,1.331541280E-4
1.720861430E-1,2.529928461E-3,2.796236658E-3,1.198387123E-3
1.740946840E-1,4.660394508E-3,4.926702939E-3,1.198387123E-3
1.761032260E-1,3.595161485E-3,5.991935730E-3,1.198387123E-3
1.781117680E-1,2.529928461E-3,5.991935730E-3,1.331541280E-4
1.801203090E-1,2.529928461E-3,4.926702939E-3,1.331541280E-4
1.821288510E-1,2.529928461E-3,4.926702939E-3,-9.320789250E-4
1.841373930E-1,1.464695437E-3,3.861469682E-3,1.331541280E-4
1.861459860E-1,2.529928461E-3,3.861469682E-3,1.331541280E-4
1.881545800E-1,3.595161485E-3,3.861469682E-3,1.331541280E-4
1.901631740E-1,2.529928461E-3,1.731003635E-3,1.331541280E-4
1.921717680E-1,3.595161485E-3,2.796236658E-3,-9.320789250E-4
1.941803610E-1,2.529928461E-3,6.657706108E-4,-9.320789250E-4
1.961889550E-1,-6.657706108E-4,1.731003635E-3,1.331541280E-4
1.981975490E-1,1.464695437E-3,2.796236658E-3,-1.997311832E-3
2.002061430E-1,3.994623839E-4,2.796236658E-3,1.331541280E-4
2.022147360E-1,3.595161485E-3,1.731003635E-3,-9.320789250E-4
2.042233300E-1,2.529928461E-3,2.796236658E-3,1.331541280E-4
2.062319240E-1,4.660394508E-3,6.657706108E-4,1.331541280E-4
2.082405180E-1,2.529928461E-3,2.796236658E-3,-9.320789250E-4
2.102491110E-1,1.464695437E-3,6.657706108E-4,1.331541280E-4
2.122577050E-1,1.464695437E-3,6.657706108E-4,1.331541280E-4
2.142662990E-1,2.529928461E-3,1.731003635E-3,1.331541280E-4
2.162748930E-1,1.464695437E-3,6.657706108E-4,-9.320789250E-4
2.182834860E-1,3.595161485E-3,3.861469682E-3,1.331541280E-4
2.202920800E-1,2.529928461E-3,1.731003635E-3,1.331541280E-4
2.223006740E-1,4.660394508E-3,6.657706108E-4,-9.320789250E-4
2.243092680E-1,2.529928461E-3,1.731003635E-3,1.331541280E-4
2.263178610E-1,2.529928461E-3,6.657706108E-4,-9.320789250E-4
2.283264550E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
2.303350490E-1,1.464695437E-3,-3.994623839E-4,-9.320789250E-4
2.323436430E-1,1.464695437E-3,-3.994623839E-4,1.198387123E-3
2.343522360E-1,1.464695437E-3,-3.994623839E-4,-9.320789250E-4
2.363608300E-1,1.464695437E-3,6.657706108E-4,1.331541280E-4
2.383694240E-1,2.529928461E-3,-3.994623839E-4,-9.320789250E-4
2.403780180E-1,1.464695437E-3,6.657706108E-4,-9.320789250E-4
2.423866110E-1,-6.657706108E-4,-3.994623839E-4,-9.320789250E-4
2.443952050E-1,-6.657706108E-4,-3.994623839E-4,1.331541280E-4
2.464037990E-1,3.994623839E-4,-2.529928461E-3,-9.320789250E-4
2.484123930E-1,-6.657706108E-4,-2.529928461E-3,1.331541280E-4
2.504209860E-1,-6.657706108E-4,-1.464695437E-3,-9.320789250E-4
2.524295800E-1,4.660394508E-3,-1.464695437E-3,1.331541280E-4
2.544381740E-1,1.464695437E-3,-2.529928461E-3,1.331541280E-4
2.564467680E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
2.584553610E-1,-1.731003635E-3,-2.529928461E-3,-1.997311832E-3
2.604639550E-1,-1.731003635E-3,-2.529928461E-3,1.331541280E-4
2.624725490E-1,-1.731003635E-3,-2.529928461E-3,-1.997311832E-3
2.644811430E-1,1.464695437E-3,-1.464695437E-3,-9.320789250E-4
2.664897360E-1,-6.657706108E-4,-1.464695437E-3,-9.320789250E-4
2.684983300E-1,-2.796236658E-3,-1.464695437E-3,-9.320789250E-4
2.705069240E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
2.725155180E-1,-6.657706108E-4,-1.464695437E-3,-9.320789250E-4
2.745241110E-1,-6.657706108E-4,-2.529928461E-3,-9.320789250E-4
2.765327050E-1,-6.657706108E-4,-3.994623839E-4,1.198387123E-3
2.785412990E-1,-1.731003635E-3,-3.994623839E-4,1.331541280E-4
2.805498930E-1,-6.657706108E-4,-3.994623839E-4,1.198387123E-3
2.825584860E-1,-6.657706108E-4,-3.994623839E-4,1.331541280E-4
2.845670800E-1,-6.657706108E-4,-3.994623839E-4,-9.320789250E-4
2.865756740E-1,-6.657706108E-4,-3.994623839E-4,-1.997311832E-3
2.885842680E-1,-1.731003635E-3,6.657706108E-4,1.331541280E-4
2.905928610E-1,-1.731003635E-3,-3.994623839E-4,1.331541280E-4
2.926014550E-1,-3.861469682E-3,6.657706108E-4,-9.320789250E-4
2.946100490E-1,-6.657706108E-4,-3.994623839E-4,-9.320789250E-4
2.966186430E-1,-1.731003635E-3,6.657706108E-4,1.331541280E-4
2.986272360E-1,-6.657706108E-4,1.731003635E-3,1.331541280E-4
3.006358300E-1,-2.796236658E-3,6.657706108E-4,-9.320789250E-4
3.026444240E-1,-3.861469682E-3,-3.994623839E-4,1.198387123E-3
3.046530180E-1,-3.861469682E-3,1.731003635E-3,-9.320789250E-4
3.066616110E-1,-1.731003635E-3,-3.994623839E-4,1.198387123E-3
3.086702050E-1,-4.926702939E-3,-1.464695437E-3,-9.320789250E-4
3.106787990E-1,-2.796236658E-3,-1.464695437E-3,-9.320789250E-4
3.126873930E-1,-6.657706108E-4,-1.464695437E-3,-9.320789250E-4
3.146959860E-1,-1.731003635E-3,-3.994623839E-4,-9.320789250E-4
3.167045800E-1,-2.796236658E-3,-3.595161485E-3,1.331541280E-4
3.187131740E-1,-5.991935730E-3,-2.529928461E-3,-9.320789250E-4
3.207217680E-1,-3.861469682E-3,-4.660394508E-3,1.331541280E-4
3.227303610E-1,-2.796236658E-3,-6.790860556E-3,1.331541280E-4
3.247389550E-1,-3.861469682E-3,-4.660394508E-3,1.331541280E-4
3.267475490E-1,-2.796236658E-3,-5.725627299E-3,1.331541280E-4
3.287561430E-1,-2.796236658E-3,-5.725627299E-3,1.331541280E-4
3.307647360E-1,-2.796236658E-3,-5.725627299E-3,1.331541280E-4
